tanggal_lengkap,cabe_rawit_merah,lag_1
2024-03-02,40000.0,40000.0
2024-03-03,40000.0,40000.0
2024-03-04,35000.0,40000.0
2024-03-05,35000.0,35000.0
2024-03-06,35000.0,35000.0
2024-03-07,35000.0,35000.0
2024-03-08,35000.0,35000.0
2024-03-09,35000.0,35000.0
2024-03-10,35000.0,35000.0
2024-03-11,40000.0,35000.0
2024-03-12,40000.0,40000.0
2024-03-13,40000.0,40000.0
2024-03-14,40000.0,40000.0
2024-03-15,40000.0,40000.0
2024-03-16,40000.0,40000.0
2024-03-17,40000.0,40000.0
2024-03-18,40000.0,40000.0
2024-03-19,40000.0,40000.0
2024-03-20,40000.0,40000.0
2024-03-21,40000.0,40000.0
2024-03-22,40000.0,40000.0
2024-03-23,40000.0,40000.0
2024-03-24,40000.0,40000.0
2024-03-25,45000.0,40000.0
2024-03-26,45000.0,45000.0
2024-03-27,45000.0,45000.0
2024-03-28,45000.0,45000.0
2024-03-29,45000.0,45000.0
2024-03-30,45000.0,45000.0
2024-03-31,45000.0,45000.0
2024-04-01,40000.0,45000.0
2024-04-02,40000.0,40000.0
2024-04-03,40000.0,40000.0
2024-04-04,45000.0,40000.0
2024-04-05,45000.0,45000.0
2024-04-06,45000.0,45000.0
2024-04-07,45000.0,45000.0
2024-04-08,45000.0,45000.0
2024-04-09,45000.0,45000.0
2024-04-10,55000.0,45000.0
2024-04-11,55000.0,55000.0
2024-04-12,55000.0,55000.0
2024-04-13,55000.0,55000.0
2024-04-14,55000.0,55000.0
2024-04-15,55000.0,55000.0
2024-04-16,55000.0,55000.0
2024-04-17,55000.0,55000.0
2024-04-18,55000.0,55000.0
2024-04-19,55000.0,55000.0
2024-04-20,55000.0,55000.0
2024-04-21,55000.0,55000.0
2024-04-22,65000.0,55000.0
2024-04-23,65000.0,65000.0
2024-04-24,70000.0,65000.0
2024-04-25,75000.0,70000.0
2024-04-26,75000.0,75000.0
2024-04-27,75000.0,75000.0
2024-04-28,75000.0,75000.0
2024-04-29,80000.0,75000.0
2024-04-30,80000.0,80000.0
2024-05-01,80000.0,80000.0
2024-05-02,80000.0,80000.0
2024-05-03,80000.0,80000.0
2024-05-04,80000.0,80000.0
2024-05-05,80000.0,80000.0
2024-05-06,80000.0,80000.0
2024-05-07,80000.0,80000.0
2024-05-08,80000.0,80000.0
2024-05-09,80000.0,80000.0
2024-05-10,80000.0,80000.0
2024-05-11,80000.0,80000.0
2024-05-12,80000.0,80000.0
2024-05-13,70000.0,80000.0
2024-05-14,70000.0,70000.0
2024-05-15,60000.0,70000.0
2024-05-16,60000.0,60000.0
2024-05-17,60000.0,60000.0
2024-05-18,60000.0,60000.0
2024-05-19,60000.0,60000.0
2024-05-20,66667.0,60000.0
2024-05-21,66667.0,66667.0
2024-05-22,66667.0,66667.0
2024-05-23,60000.0,66667.0
2024-05-24,60000.0,60000.0
2024-05-25,60000.0,60000.0
2024-05-26,60000.0,60000.0
2024-05-27,40000.0,60000.0
2024-05-28,40000.0,40000.0
2024-05-29,40000.0,40000.0
2024-05-30,40000.0,40000.0
2024-05-31,40000.0,40000.0
2024-06-01,40000.0,40000.0
2024-06-02,40000.0,40000.0
2024-06-03,35000.0,40000.0
2024-06-04,35000.0,35000.0
2024-06-05,35000.0,35000.0
2024-06-06,35000.0,35000.0
2024-06-07,35000.0,35000.0
2024-06-08,35000.0,35000.0
2024-06-09,35000.0,35000.0
2024-06-10,40000.0,35000.0
2024-06-11,40000.0,40000.0
2024-06-12,40000.0,40000.0
2024-06-13,40000.0,40000.0
2024-06-14,40000.0,40000.0
2024-06-15,40000.0,40000.0
2024-06-16,40000.0,40000.0
2024-06-17,40000.0,40000.0
2024-06-18,40000.0,40000.0
2024-06-19,40000.0,40000.0
2024-06-20,40000.0,40000.0
2024-06-21,40000.0,40000.0
2024-06-22,40000.0,40000.0
2024-06-23,40000.0,40000.0
2024-06-24,45000.0,40000.0
2024-06-25,45000.0,45000.0
2024-06-26,45000.0,45000.0
2024-06-27,45000.0,45000.0
2024-06-28,45000.0,45000.0
2024-06-29,45000.0,45000.0
2024-06-30,45000.0,45000.0
2024-07-01,40000.0,45000.0
2024-07-02,40000.0,40000.0
2024-07-03,40000.0,40000.0
2024-07-04,45000.0,40000.0
2024-07-05,45000.0,45000.0
2024-07-06,45000.0,45000.0
2024-07-07,45000.0,45000.0
2024-07-08,45000.0,45000.0
2024-07-09,45000.0,45000.0
2024-07-10,55000.0,45000.0
2024-07-11,55000.0,55000.0
2024-07-12,55000.0,55000.0
2024-07-13,55000.0,55000.0
2024-07-14,55000.0,55000.0
2024-07-15,55000.0,55000.0
2024-07-16,55000.0,55000.0
2024-07-17,55000.0,55000.0
2024-07-18,55000.0,55000.0
2024-07-19,55000.0,55000.0
2024-07-20,55000.0,55000.0
2024-07-21,55000.0,55000.0
2024-07-22,65000.0,55000.0
2024-07-23,65000.0,65000.0
2024-07-24,70000.0,65000.0
2024-07-25,75000.0,70000.0
2024-07-26,75000.0,75000.0
2024-07-27,75000.0,75000.0
2024-07-28,75000.0,75000.0
2024-07-29,80000.0,75000.0
2024-07-30,80000.0,80000.0
2024-07-31,80000.0,80000.0
2024-08-01,80000.0,80000.0
2024-08-02,80000.0,80000.0
2024-08-03,80000.0,80000.0
2024-08-04,80000.0,80000.0
2024-08-05,80000.0,80000.0
2024-08-06,80000.0,80000.0
2024-08-07,80000.0,80000.0
2024-08-08,80000.0,80000.0
2024-08-09,80000.0,80000.0
2024-08-10,80000.0,80000.0
2024-08-11,80000.0,80000.0
2024-08-12,70000.0,80000.0
2024-08-13,70000.0,70000.0
2024-08-14,60000.0,70000.0
2024-08-15,60000.0,60000.0
2024-08-16,60000.0,60000.0
2024-08-17,60000.0,60000.0
2024-08-18,60000.0,60000.0
2024-08-19,66667.0,60000.0
2024-08-20,66667.0,66667.0
2024-08-21,66667.0,66667.0
2024-08-22,60000.0,66667.0
2024-08-23,60000.0,60000.0
2024-08-24,60000.0,60000.0
2024-08-25,60000.0,60000.0
2024-08-26,40000.0,60000.0
2024-08-27,40000.0,40000.0
2024-08-28,40000.0,40000.0
2024-08-29,40000.0,40000.0
2024-08-30,40000.0,40000.0
2024-08-31,40000.0,40000.0
2024-09-01,40000.0,40000.0
2024-09-02,35000.0,40000.0
2024-09-03,35000.0,35000.0
2024-09-04,35000.0,35000.0
2024-09-05,35000.0,35000.0
2024-09-06,35000.0,35000.0
2024-09-07,35000.0,35000.0
2024-09-08,35000.0,35000.0
2024-09-09,40000.0,35000.0
2024-09-10,40000.0,40000.0
2024-09-11,40000.0,40000.0
2024-09-12,40000.0,40000.0
2024-09-13,40000.0,40000.0
2024-09-14,40000.0,40000.0
2024-09-15,40000.0,40000.0
2024-09-16,40000.0,40000.0
2024-09-17,40000.0,40000.0
2024-09-18,40000.0,40000.0
2024-09-19,40000.0,40000.0
2024-09-20,40000.0,40000.0
2024-09-21,40000.0,40000.0
2024-09-22,40000.0,40000.0
2024-09-23,45000.0,40000.0
2024-09-24,45000.0,45000.0
2024-09-25,45000.0,45000.0
2024-09-26,45000.0,45000.0
2024-09-27,45000.0,45000.0
2024-09-28,45000.0,45000.0
2024-09-29,45000.0,45000.0
2024-09-30,45000.0,45000.0
2024-10-01,40000.0,45000.0
2024-10-02,40000.0,40000.0
2024-10-03,40000.0,40000.0
2024-10-04,40000.0,40000.0
2024-10-05,40000.0,40000.0
2024-10-06,40000.0,40000.0
2024-10-07,40000.0,40000.0
2024-10-08,40000.0,40000.0
2024-10-09,40000.0,40000.0
2024-10-10,45000.0,40000.0
2024-10-11,45000.0,45000.0
2024-10-12,45000.0,45000.0
2024-10-13,45000.0,45000.0
2024-10-14,45000.0,45000.0
2024-10-15,45000.0,45000.0
2024-10-16,45000.0,45000.0
2024-10-17,40000.0,45000.0
2024-10-18,40000.0,40000.0
2024-10-19,40000.0,40000.0
2024-10-20,40000.0,40000.0
2024-10-21,40000.0,40000.0
2024-10-22,40000.0,40000.0
2024-10-23,40000.0,40000.0
2024-10-24,40000.0,40000.0
2024-10-25,40000.0,40000.0
2024-10-26,40000.0,40000.0
2024-10-27,40000.0,40000.0
2024-10-28,40000.0,40000.0
2024-10-29,40000.0,40000.0
2024-10-30,40000.0,40000.0
2024-10-31,40000.0,40000.0
2024-11-01,40000.0,40000.0
2024-11-02,40000.0,40000.0
2024-11-03,40000.0,40000.0
2024-11-04,35000.0,40000.0
2024-11-05,35000.0,35000.0
2024-11-06,35000.0,35000.0
2024-11-07,35000.0,35000.0
2024-11-08,35000.0,35000.0
2024-11-09,35000.0,35000.0
2024-11-10,35000.0,35000.0
2024-11-11,45000.0,35000.0
2024-11-12,45000.0,45000.0
2024-11-13,45000.0,45000.0
2024-11-14,45000.0,45000.0
2024-11-15,45000.0,45000.0
2024-11-16,45000.0,45000.0
2024-11-17,45000.0,45000.0
2024-11-18,35000.0,45000.0
2024-11-19,35000.0,35000.0
2024-11-20,35000.0,35000.0
2024-11-21,35000.0,35000.0
2024-11-22,35000.0,35000.0
2024-11-23,35000.0,35000.0
2024-11-24,35000.0,35000.0
2024-11-25,35000.0,35000.0
2024-11-26,35000.0,35000.0
2024-11-27,35000.0,35000.0
2024-11-28,30000.0,35000.0
2024-11-29,30000.0,30000.0
2024-11-30,30000.0,30000.0
2024-12-01,30000.0,30000.0
2024-12-02,30000.0,30000.0
2024-12-03,30000.0,30000.0
2024-12-04,35000.0,30000.0
2024-12-05,35000.0,35000.0
2024-12-06,35000.0,35000.0
2024-12-07,35000.0,35000.0
2024-12-08,35000.0,35000.0
2024-12-09,40000.0,35000.0
2024-12-10,40000.0,40000.0
2024-12-11,45000.0,40000.0
2024-12-12,45000.0,45000.0
2024-12-13,35000.0,45000.0
2024-12-14,35000.0,35000.0
2024-12-15,35000.0,35000.0
2024-12-16,50000.0,35000.0
2024-12-17,40000.0,50000.0
2024-12-18,43333.0,40000.0
2024-12-19,43333.0,43333.0
2024-12-20,43333.0,43333.0
2024-12-21,43333.0,43333.0
2024-12-22,43333.0,43333.0
2024-12-23,66667.0,43333.0
2024-12-24,60000.0,66667.0
2024-12-25,60000.0,60000.0
2024-12-26,60000.0,60000.0
2024-12-27,60000.0,60000.0
2024-12-28,60000.0,60000.0
2024-12-29,60000.0,60000.0
2025-01-01,50000.0,60000.0
2025-01-02,50000.0,50000.0
2025-01-03,50000.0,50000.0
2025-01-04,50000.0,50000.0
2025-01-05,50000.0,50000.0
2025-01-06,100000.0,50000.0
2025-01-07,110000.0,100000.0
2025-01-08,110000.0,110000.0
2025-01-09,110000.0,110000.0
2025-01-10,110000.0,110000.0
2025-01-11,110000.0,110000.0
2025-01-12,110000.0,110000.0
2025-01-13,100000.0,110000.0
2025-01-14,100000.0,100000.0
2025-01-15,100000.0,100000.0
2025-01-16,100000.0,100000.0
2025-01-17,100000.0,100000.0
2025-01-18,100000.0,100000.0
2025-01-19,100000.0,100000.0
2025-01-20,60000.0,100000.0
2025-01-21,60000.0,60000.0
2025-01-22,60000.0,60000.0
2025-01-23,60000.0,60000.0
2025-01-24,70000.0,60000.0
2025-01-25,70000.0,70000.0
2025-01-26,70000.0,70000.0
2025-01-27,70000.0,70000.0
2025-01-28,70000.0,70000.0
2025-01-29,70000.0,70000.0
2025-01-30,80000.0,70000.0
2025-01-31,80000.0,80000.0
2025-02-01,80000.0,80000.0
2025-02-02,80000.0,80000.0
2025-02-03,70000.0,80000.0
2025-02-04,70000.0,70000.0
2025-02-05,70000.0,70000.0
2025-02-06,70000.0,70000.0
2025-02-07,70000.0,70000.0
2025-02-08,70000.0,70000.0
2025-02-09,70000.0,70000.0
2025-02-10,60000.0,70000.0
2025-02-11,60000.0,60000.0
2025-02-12,60000.0,60000.0
2025-02-13,60000.0,60000.0
2025-02-14,70000.0,60000.0
2025-02-15,70000.0,70000.0
2025-02-16,70000.0,70000.0
2025-02-17,60000.0,70000.0
2025-02-18,60000.0,60000.0
2025-02-19,60000.0,60000.0
2025-02-20,60000.0,60000.0
2025-02-21,60000.0,60000.0
2025-02-22,60000.0,60000.0
2025-02-23,60000.0,60000.0
2025-02-24,90000.0,60000.0
2025-02-25,90000.0,90000.0
2025-02-26,100000.0,90000.0
2025-02-27,100000.0,100000.0
2025-02-28,100000.0,100000.0
2025-03-01,100000.0,100000.0
2025-03-02,100000.0,100000.0
2025-03-03,120000.0,100000.0
2025-03-04,120000.0,120000.0
2025-03-05,100000.0,120000.0
2025-03-06,100000.0,100000.0
2025-03-07,80000.0,100000.0
2025-03-08,80000.0,80000.0
2025-03-09,80000.0,80000.0
2025-03-10,80000.0,80000.0
2025-03-11,80000.0,80000.0
2025-03-12,80000.0,80000.0
2025-03-13,80000.0,80000.0
2025-03-14,90000.0,80000.0
2025-03-15,90000.0,90000.0
2025-03-16,90000.0,90000.0
2025-03-17,80000.0,90000.0
2025-03-18,100000.0,80000.0
2025-03-19,100000.0,100000.0
2025-03-20,100000.0,100000.0
2025-03-21,100000.0,100000.0
2025-03-22,100000.0,100000.0
2025-03-23,100000.0,100000.0
2025-03-24,90000.0,100000.0
2025-03-25,90000.0,90000.0
2025-03-26,90000.0,90000.0
2025-03-27,100000.0,90000.0
2025-03-28,100000.0,100000.0
